feature,ic_h6_drop,ic_h6_sd,ic_h18_drop,ic_h18_sd,ap_up18_drop,ap_up18_sd,ap_dn18_drop,ap_dn18_sd,abs_importance,above_noise
lsr_z,0.00295923170722469,0.001053946240644383,0.0017192221759669835,0.0011906191813280801,0.015755816423809705,0.0022678029743948363,0.012437668173960779,0.002703725297108206,0.014096742298885242,True
ma_gap_24h,0.006335538155617789,0.001445236268550029,0.00016987098780600965,0.0023111960143154643,0.0148800310235978,0.0010425329591601878,-0.004511133310520426,0.00618490765020449,0.009695582167059113,True
spread_expansion,0.0003565805651253237,0.00025721584343474363,0.00016489000632738567,0.00025489348113508567,0.009339645139954899,0.0010523835457827006,0.028118191244555595,0.002080016027561496,0.018728918192255247,True
mid_flips_norm,0.0017704348302630245,0.0007979196089523583,0.002121857659203626,0.000563695408921205,0.00915780820880574,0.002058993971908921,0.01947867700797416,0.002932553585090749,0.01431824260838995,True
sweep_sell_rel,0.0012667277841675473,0.000526380525001995,-5.905163213013216e-05,0.000603046938818093,0.006525637749537613,0.001926749289309223,0.01069599535116584,0.0024273857180197728,0.008610816550351726,True
batch_buy_rel,0.0006721756946316375,0.0006019112720531259,0.00043184951869676413,0.0004949482742868818,0.006468458320182679,0.0007695972884955873,0.0019470187298605418,0.0015017236488046887,0.00420773852502161,True
funding_pressure,0.0004891194709741066,0.0007077591181097075,-0.00020910333503392463,0.0005602771115720668,0.006433529639264923,0.0024550022717817334,0.004772727721913308,0.002725144019668906,0.005603128680589115,True
near_funding,0.0006164201006498317,0.001005530126063979,0.00129988674788966,0.0009451478891015527,0.00539629763794109,0.0026430715536721657,0.014789560475753291,0.00475217249989376,0.01009292905684719,True
vol_ratio_1h_24h,-0.0016264289376224043,0.002217660059996685,-0.0021971351054376996,0.002097662817179207,0.005169410166313403,0.0021837045346693854,0.02462787589720304,0.006567618188259001,0.014898643031758222,True
mid_rv_norm,0.0006245667027684823,0.0006537894317463032,-0.00031040412017387803,0.0013228425885337765,0.005094475488263493,0.002145094595965593,0.003960171219385609,0.0018313114665694482,0.004527323353824551,True
buy_tail_ratio,-0.0014163503846208077,0.0008179889749477917,-0.0008250613405686169,0.0009657321817230732,0.0049605958314591185,0.0016526668769299155,0.00604989319266128,0.0033810376096352697,0.005505244512060199,True
range_pos_24h,5.9719265122708254e-05,0.0009425606176468591,0.0036547550483125,0.0012620544382693146,0.004650549494514926,0.0027688295902309223,0.045844574450097736,0.008089670596017283,0.02524756197230633,True
momentum,0.001964602268961292,0.0007618141730446337,0.0026139597577731063,0.0006337714236654697,0.004322332304472983,0.000555974378463075,0.025542622823700758,0.001641941021601949,0.01493247756408687,True
sweep_buy_rel,0.00011796801280581498,0.0003838362776212108,-0.0005493008365820597,0.0005035824762224847,0.0034590258638966392,0.0018399462103238634,0.011001603650702123,0.0033083416327504204,0.007230314757299381,True
